"trainer/global_step","eager-lion-59 - _step","eager-lion-59 - _step__MIN","eager-lion-59 - _step__MAX","eager-lion-59 - val/acc","eager-lion-59 - val/acc__MIN","eager-lion-59 - val/acc__MAX"
"46323","110","110","110","0.5523999929428101","0.5523999929428101","0.5523999929428101"
"47575","113","113","113","0.5559750199317932","0.5559750199317932","0.5559750199317932"
"48827","116","116","116","0.5584499835968018","0.5584499835968018","0.5584499835968018"
"50079","119","119","119","0.562624990940094","0.562624990940094","0.562624990940094"
"51331","122","122","122","0.5641250014305115","0.5641250014305115","0.5641250014305115"
"52583","125","125","125","0.5711249709129333","0.5711249709129333","0.5711249709129333"
"53835","128","128","128","0.5743749737739563","0.5743749737739563","0.5743749737739563"
"55087","132","132","132","0.5755000114440918","0.5755000114440918","0.5755000114440918"
"56339","135","135","135","0.5792250037193298","0.5792250037193298","0.5792250037193298"
"57591","138","138","138","0.5828250050544739","0.5828250050544739","0.5828250050544739"
"58843","141","141","141","0.5853999853134155","0.5853999853134155","0.5853999853134155"
"60095","144","144","144","0.5886499881744385","0.5886499881744385","0.5886499881744385"
"61347","147","147","147","0.5879250168800354","0.5879250168800354","0.5879250168800354"
"62599","150","150","150","0.5872499942779541","0.5872499942779541","0.5872499942779541"
"63851","153","153","153","0.595425009727478","0.595425009727478","0.595425009727478"
"65103","156","156","156","0.5927249789237976","0.5927249789237976","0.5927249789237976"
"66355","159","159","159","0.5987499952316284","0.5987499952316284","0.5987499952316284"
"67607","162","162","162","0.59722501039505","0.59722501039505","0.59722501039505"
"68859","165","165","165","0.5984500050544739","0.5984500050544739","0.5984500050544739"
"70111","168","168","168","0.6028749942779541","0.6028749942779541","0.6028749942779541"
"71363","171","171","171","0.6086999773979187","0.6086999773979187","0.6086999773979187"
"72615","174","174","174","0.6039249897003174","0.6039249897003174","0.6039249897003174"
"73867","177","177","177","0.6112750172615051","0.6112750172615051","0.6112750172615051"
"75119","180","180","180","0.6076499819755554","0.6076499819755554","0.6076499819755554"
"76371","183","183","183","0.6120749711990356","0.6120749711990356","0.6120749711990356"
"77623","186","186","186","0.6115000247955322","0.6115000247955322","0.6115000247955322"
"78875","189","189","189","0.6121749877929688","0.6121749877929688","0.6121749877929688"
"80127","192","192","192","0.6185250282287598","0.6185250282287598","0.6185250282287598"
"81379","195","195","195","0.6195499897003174","0.6195499897003174","0.6195499897003174"
"82631","199","199","199","0.6183249950408936","0.6183249950408936","0.6183249950408936"
"83883","202","202","202","0.6197749972343445","0.6197749972343445","0.6197749972343445"
"85135","205","205","205","0.6209750175476074","0.6209750175476074","0.6209750175476074"
"86387","208","208","208","0.6263750195503235","0.6263750195503235","0.6263750195503235"
"87639","211","211","211","0.6259250044822693","0.6259250044822693","0.6259250044822693"
"88891","214","214","214","0.6263499855995178","0.6263499855995178","0.6263499855995178"
"90143","217","217","217","0.6258999705314636","0.6258999705314636","0.6258999705314636"
"91395","220","220","220","0.6304000020027161","0.6304000020027161","0.6304000020027161"
"92647","223","223","223","0.6256499886512756","0.6256499886512756","0.6256499886512756"
"93899","226","226","226","0.6341750025749207","0.6341750025749207","0.6341750025749207"
"95151","229","229","229","0.6335750222206116","0.6335750222206116","0.6335750222206116"
"96403","232","232","232","0.6294000148773193","0.6294000148773193","0.6294000148773193"
"97655","235","235","235","0.6345499753952026","0.6345499753952026","0.6345499753952026"
"98907","238","238","238","0.6389250159263611","0.6389250159263611","0.6389250159263611"
"100159","241","241","241","0.6354749798774719","0.6354749798774719","0.6354749798774719"
"101411","244","244","244","0.6400750279426575","0.6400750279426575","0.6400750279426575"
